단어,개체명 인식,id
이번에,O,GeynG59EXrw
 ,O,GeynG59EXrw
저희가,O,GeynG59EXrw
 ,O,GeynG59EXrw
다녀온,O,GeynG59EXrw
 ,O,GeynG59EXrw
여행지는,O,GeynG59EXrw
 ,O,GeynG59EXrw
바로,O,GeynG59EXrw
 ,O,GeynG59EXrw
강릉,B_LOC,GeynG59EXrw
입니다.,O,GeynG59EXrw
 ,O,GeynG59EXrw
여름,O,GeynG59EXrw
 ,O,GeynG59EXrw
휴가,O,GeynG59EXrw
 ,O,GeynG59EXrw
시즌에,O,GeynG59EXrw
 ,O,GeynG59EXrw
가장,O,GeynG59EXrw
 ,O,GeynG59EXrw
인기,O,GeynG59EXrw
 ,O,GeynG59EXrw
있는,O,GeynG59EXrw
 ,O,GeynG59EXrw
지역,O,GeynG59EXrw
 ,O,GeynG59EXrw
중에,O,GeynG59EXrw
 ,O,GeynG59EXrw
하나,O,GeynG59EXrw
인데요,O,GeynG59EXrw
 ,O,GeynG59EXrw
저희가,O,GeynG59EXrw
 ,O,GeynG59EXrw
강릉,B_LOC,GeynG59EXrw
에,O,GeynG59EXrw
 ,O,GeynG59EXrw
다니면서,O,GeynG59EXrw
 ,O,GeynG59EXrw
좋아하던,O,GeynG59EXrw
 ,O,GeynG59EXrw
맛집도,O,GeynG59EXrw
 ,O,GeynG59EXrw
소개해,O,GeynG59EXrw
 ,O,GeynG59EXrw
드리고,O,GeynG59EXrw
 ,O,GeynG59EXrw
여름,O,GeynG59EXrw
 ,O,GeynG59EXrw
맞이,O,GeynG59EXrw
 ,O,GeynG59EXrw
해수욕장,O,GeynG59EXrw
 ,O,GeynG59EXrw
비교까지,O,GeynG59EXrw
 ,O,GeynG59EXrw
해,O,GeynG59EXrw
 ,O,GeynG59EXrw
보는,O,GeynG59EXrw
 ,O,GeynG59EXrw
영상으로,O,GeynG59EXrw
 ,O,GeynG59EXrw
만들어봤습니다,O,GeynG59EXrw
 ,O,GeynG59EXrw
^^,O,GeynG59EXrw
 ,O,GeynG59EXrw
영상,O,GeynG59EXrw
 ,O,GeynG59EXrw
보시는,O,GeynG59EXrw
 ,O,GeynG59EXrw
한분,O,GeynG59EXrw
께,O,GeynG59EXrw
 ,O,GeynG59EXrw
라도,O,GeynG59EXrw
 ,O,GeynG59EXrw
유용한,O,GeynG59EXrw
 ,O,GeynG59EXrw
정보가,O,GeynG59EXrw
 ,O,GeynG59EXrw
된다면,O,GeynG59EXrw
 ,O,GeynG59EXrw
정말,O,GeynG59EXrw
 ,O,GeynG59EXrw
기쁠,O,GeynG59EXrw
 ,O,GeynG59EXrw
것,O,GeynG59EXrw
 ,O,GeynG59EXrw
같습니다,O,GeynG59EXrw
 ,O,GeynG59EXrw
^^,O,GeynG59EXrw
 ,O,GeynG59EXrw
늘,O,GeynG59EXrw
 ,O,GeynG59EXrw
부족한,O,GeynG59EXrw
 ,O,GeynG59EXrw
영상에,O,GeynG59EXrw
 ,O,GeynG59EXrw
좋아요,O,GeynG59EXrw
 ,O,GeynG59EXrw
와,O,GeynG59EXrw
 ,O,GeynG59EXrw
댓글로,O,GeynG59EXrw
 ,O,GeynG59EXrw
힘,O,GeynG59EXrw
 ,O,GeynG59EXrw
주시는,O,GeynG59EXrw
 ,O,GeynG59EXrw
많은,O,GeynG59EXrw
 ,O,GeynG59EXrw
분들,O,GeynG59EXrw
 ,O,GeynG59EXrw
정말,O,GeynG59EXrw
 ,O,GeynG59EXrw
감사드리구요,O,GeynG59EXrw
 ,O,GeynG59EXrw
좀,O,GeynG59EXrw
 ,O,GeynG59EXrw
더,O,GeynG59EXrw
 ,O,GeynG59EXrw
좋은,O,GeynG59EXrw
 ,O,GeynG59EXrw
영상,O,GeynG59EXrw
 ,O,GeynG59EXrw
만들어서,O,GeynG59EXrw
 ,O,GeynG59EXrw
