단어,개체명 인식,id
sub),O,38fgBctBJqg
 ,O,38fgBctBJqg
1박 2일,O,38fgBctBJqg
 ,O,38fgBctBJqg
10끼,O,38fgBctBJqg
 ,O,38fgBctBJqg
목표로,O,38fgBctBJqg
 ,O,38fgBctBJqg
다녀온,O,38fgBctBJqg
 ,O,38fgBctBJqg
대구,B_LOC,38fgBctBJqg
 ,O,38fgBctBJqg
여행,O,38fgBctBJqg
 ,O,38fgBctBJqg
브이로그,O,38fgBctBJqg
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
대구,B_LOC,8BrBPt7de24
 ,O,8BrBPt7de24
먹방여행,O,8BrBPt7de24
 ,O,8BrBPt7de24
2편,O,8BrBPt7de24
/,O,8BrBPt7de24
미림돈까스,B_RES,8BrBPt7de24
+,O,8BrBPt7de24
중앙떡볶이,B_RES,8BrBPt7de24
+,O,8BrBPt7de24
납작만두,O,8BrBPt7de24
+,O,8BrBPt7de24
김밥,O,8BrBPt7de24
+,O,8BrBPt7de24
땡스베이글,B_CAF,8BrBPt7de24
 ,O,8BrBPt7de24
자매,O,8BrBPt7de24
여행,O,8BrBPt7de24
 ,O,8BrBPt7de24
(,O,8BrBPt7de24
"ENG,JP SUB",O,8BrBPt7de24
),O,8BrBPt7de24
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
ENG),O,7LTc79JFoxg
 ,O,7LTc79JFoxg
Y,O,7LTc79JFoxg
eLim,O,7LTc79JFoxg
 ,O,7LTc79JFoxg
vlog,O,7LTc79JFoxg
 ,O,7LTc79JFoxg
집으로,O,7LTc79JFoxg
 ,O,7LTc79JFoxg
?,O,7LTc79JFoxg
 ,O,7LTc79JFoxg
(#,O,7LTc79JFoxg
대구,B_LOC,7LTc79JFoxg
여행,O,7LTc79JFoxg
 ,O,7LTc79JFoxg
#,O,7LTc79JFoxg
조주기능사,O,7LTc79JFoxg
 ,O,7LTc79JFoxg
#사전투표,O,7LTc79JFoxg
 ,O,7LTc79JFoxg
#호캉스,O,7LTc79JFoxg
 ,O,7LTc79JFoxg
#,O,7LTc79JFoxg
수성호텔,O,7LTc79JFoxg
 ,O,7LTc79JFoxg
#,O,7LTc79JFoxg
수성못,B_TOR,7LTc79JFoxg
 ,O,7LTc79JFoxg
#,O,7LTc79JFoxg
새우장,O,7LTc79JFoxg
 ,O,7LTc79JFoxg
),O,7LTc79JFoxg
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
나홀로,O,S8Emu2qOKgQ
 ,O,S8Emu2qOKgQ
대구,B_LOC,S8Emu2qOKgQ
 ,O,S8Emu2qOKgQ
먹방여행#,O,S8Emu2qOKgQ
1,O,S8Emu2qOKgQ
_,O,S8Emu2qOKgQ
매콤낙지볶음,O,S8Emu2qOKgQ
+,O,S8Emu2qOKgQ
슈크림도넛,O,S8Emu2qOKgQ
+,O,S8Emu2qOKgQ
블루베리도넛,O,S8Emu2qOKgQ
+,O,S8Emu2qOKgQ
미진분식,B_RES,S8Emu2qOKgQ
 ,O,S8Emu2qOKgQ
김밥,O,S8Emu2qOKgQ
+,O,S8Emu2qOKgQ
우동,O,S8Emu2qOKgQ
 ,O,S8Emu2qOKgQ
+,O,S8Emu2qOKgQ
스쿱당,B_CAF,S8Emu2qOKgQ
#NAME?,O,S8Emu2qOKgQ
세컷,O,S8Emu2qOKgQ
’(,O,S8Emu2qOKgQ
"ENG,JP SUB",O,S8Emu2qOKgQ
),O,S8Emu2qOKgQ
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
대구,B_LOC,c6Tl-zcLPlA
 ,O,c6Tl-zcLPlA
먹방여행!,O,c6Tl-zcLPlA
 ,O,c6Tl-zcLPlA
마늘찜갈비,O,c6Tl-zcLPlA
+,O,c6Tl-zcLPlA
