단어,개체명 인식,id
H,O,XnXEvltu0tM
ADONG,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
VLOG,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
(ENG,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
SUB,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
ADDED),O,XnXEvltu0tM
ㅡㅡㅡ,ㅡㅡㅡ,XnXEvltu0tM
안녕하세요,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
여러분,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
☺,O,XnXEvltu0tM
ㅡㅡㅡ,ㅡㅡㅡ,XnXEvltu0tM
이번,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
브이로그는,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
얼마전,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
다녀온,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
하동,B_LOC,XnXEvltu0tM
 ,O,XnXEvltu0tM
여행을,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
담아봤어요,O,XnXEvltu0tM
ㅡㅡㅡ,ㅡㅡㅡ,XnXEvltu0tM
아주,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
조용하고,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
잔잔했던,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
"곳이라,",O,XnXEvltu0tM
 ,O,XnXEvltu0tM
마이 리틀포레스트,O,XnXEvltu0tM
가,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
떠오르는,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
여행이었어요,O,XnXEvltu0tM
ㅡㅡㅡ,ㅡㅡㅡ,XnXEvltu0tM
오랜만에,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
고등학교,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
때,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
친구,O,XnXEvltu0tM
들이랑,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
간,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
여행이라,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
내일로여행,O,XnXEvltu0tM
도,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
떠오르더라구요,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
☺,O,XnXEvltu0tM
ㅡㅡㅡ,ㅡㅡㅡ,XnXEvltu0tM
하동,B_LOC,XnXEvltu0tM
 ,O,XnXEvltu0tM
여행,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
계획,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
중이시라면,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
참고해주세요!,O,XnXEvltu0tM
ㅡㅡㅡ,ㅡㅡㅡ,XnXEvltu0tM
모두,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
건강,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
유의하세요,O,XnXEvltu0tM
ㅡㅡㅡ,ㅡㅡㅡ,XnXEvltu0tM
instagram,O,XnXEvltu0tM
ㅡㅡㅡ,ㅡㅡㅡ,XnXEvltu0tM
httpswwwinstagramcomjodolworld,O,XnXEvltu0tM
ㅡㅡㅡ,ㅡㅡㅡ,XnXEvltu0tM
contact,O,XnXEvltu0tM
ㅡㅡㅡ,ㅡㅡㅡ,XnXEvltu0tM
jodolworld,O,XnXEvltu0tM
@,O,XnXEvltu0tM
dmil.kr,O,XnXEvltu0tM
ㅡㅡㅡ,ㅡㅡㅡ,XnXEvltu0tM
데일리룩,O,XnXEvltu0tM
ㅡㅡㅡ,ㅡㅡㅡ,XnXEvltu0tM
day,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
1,O,XnXEvltu0tM
ㅡㅡㅡ,ㅡㅡㅡ,XnXEvltu0tM
블라우스,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
르브제,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
http,O,XnXEvltu0tM
s://bit,O,XnXEvltu0tM
.ly/2TdOU07,O,XnXEvltu0tM
ㅡㅡㅡ,ㅡㅡㅡ,XnXEvltu0tM
팬츠,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
드파운,O,XnXEvltu0tM
드,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
https://bit.ly,O,XnXEvltu0tM
/,O,XnXEvltu0tM
2VL46Tj,O,XnXEvltu0tM
ㅡㅡㅡ,ㅡㅡㅡ,XnXEvltu0tM
가방,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
드파운드,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
https://bit.ly/3xGNKck,O,XnXEvltu0tM
ㅡㅡㅡ,ㅡㅡㅡ,XnXEvltu0tM
캐리어 허쉘서플라이,O,XnXEvltu0tM
ㅡㅡㅡ,ㅡㅡㅡ,XnXEvltu0tM
day2,O,XnXEvltu0tM
ㅡㅡㅡ,ㅡㅡㅡ,XnXEvltu0tM
원피스,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
더페이퍼룸,O,XnXEvltu0tM
 ,O,XnXEvltu0tM
http,O,XnXEvltu0tM
s://bit,O,XnXEvltu0tM
