단어,개체명 인식,id,Unnamed: 3
7월말,O,GJIXlaRRYUk,
에,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
떠났던,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
경주,B_LOC,GJIXlaRRYUk,
여행,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
영상입니다,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
-,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
지금은,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
삭제했지만,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
작년,O,GJIXlaRRYUk,
에,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
경주,B_LOC,GJIXlaRRYUk,
여행으로,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
브이로그를,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
처음,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
시작했는데,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
똑같은,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
곳은,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
가고,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
다시,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
올리게되니,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
기분이,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
오묘했어요??,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
이번주 주말,O,GJIXlaRRYUk,
은,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
집순이,O,GJIXlaRRYUk,
인데,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
태풍이라,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
구독자,O,GJIXlaRRYUk,
분들도,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
주말동안,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
외출은,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
자제하셔야,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
할,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
것,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
같아요??,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
오늘,O,GJIXlaRRYUk,
도,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
부족한,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
영상,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
봐주셔서,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
감사합니다??,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
#,O,GJIXlaRRYUk,
경주,B_LOC,GJIXlaRRYUk,
여행,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
#,O,GJIXlaRRYUk,
한국,B_LOC,GJIXlaRRYUk,
여행,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
#vlog,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
??,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
#,O,GJIXlaRRYUk,
교리김밥,B_RES,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
#,O,GJIXlaRRYUk,
노르딕,B_CAF,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
#베란다,O,GJIXlaRRYUk,
242,O,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
#,O,GJIXlaRRYUk,
메리크래프트,B_TOR,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
#가봉반과,B_CAF,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
#시즈닝,B_RES,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
#샌드그레이스,B_CAF,GJIXlaRRYUk,
 ,O,GJIXlaRRYUk,
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,
안녕하세요,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
굥이,O,053A9pQj5Ik,
입니다,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
:-),O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
이번,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
영상도,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
찾아와,O,053A9pQj5Ik,
 ,O,053A9pQj5Ik,
