단어,개체명 인식,id
#,O,9P5xeEGfJYM
안동,B_LOC,9P5xeEGfJYM
여행,O,9P5xeEGfJYM
 ,O,9P5xeEGfJYM
#,O,9P5xeEGfJYM
안동,B_LOC,9P5xeEGfJYM
맛집,O,9P5xeEGfJYM
 ,O,9P5xeEGfJYM
 ,O,9P5xeEGfJYM
#,O,9P5xeEGfJYM
안동구시장,B_TOR,9P5xeEGfJYM
 ,O,9P5xeEGfJYM
#,O,9P5xeEGfJYM
김대감찜닭,B_RES,9P5xeEGfJYM
 ,O,9P5xeEGfJYM
#,O,9P5xeEGfJYM
아차가,B_CAF,9P5xeEGfJYM
 ,O,9P5xeEGfJYM
#,O,9P5xeEGfJYM
카페볕,B_CAF,9P5xeEGfJYM
 ,O,9P5xeEGfJYM
#,O,9P5xeEGfJYM
성전식당,B_RES,9P5xeEGfJYM
 ,O,9P5xeEGfJYM
#,O,9P5xeEGfJYM
진성식당,B_RES,9P5xeEGfJYM
 ,O,9P5xeEGfJYM
#,O,9P5xeEGfJYM
맘모스제과,B_CAF,9P5xeEGfJYM
 ,O,9P5xeEGfJYM
#,O,9P5xeEGfJYM
나예누리,B_CAF,9P5xeEGfJYM
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
두 번째,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
영주,O,CihAq3RmM-o
&,O,CihAq3RmM-o
안동여행,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
브이로그입니다.,O,CihAq3RmM-o
ㅡㅡㅡ,ㅡㅡㅡ,CihAq3RmM-o
태풍이,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
예상보다,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
빠르게,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
지나가는,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
덕분에,O,CihAq3RmM-o
ㅡㅡㅡ,ㅡㅡㅡ,CihAq3RmM-o
안동하회마을,B_TOR,CihAq3RmM-o
도,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
기분좋게,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
다녀왔어요,O,CihAq3RmM-o
ㅡㅡㅡ,ㅡㅡㅡ,CihAq3RmM-o
안동,O,CihAq3RmM-o
하면,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
무조건,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
떠오르는,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
"음식,",O,CihAq3RmM-o
 ,O,CihAq3RmM-o
안동찜닭,O,CihAq3RmM-o
도,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
먹고,O,CihAq3RmM-o
ㅡㅡㅡ,ㅡㅡㅡ,CihAq3RmM-o
sns에서,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
많이,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
돌아다니던,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
맘모스제과,B_CAF,CihAq3RmM-o
도,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
가봤어요.,O,CihAq3RmM-o
ㅡㅡㅡ,ㅡㅡㅡ,CihAq3RmM-o
그,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
외에도,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
현지맛집인,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
진성식당,B_RES,CihAq3RmM-o
에서,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
돈까스,O,CihAq3RmM-o
도,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
먹고,O,CihAq3RmM-o
ㅡㅡㅡ,ㅡㅡㅡ,CihAq3RmM-o
서울,B_LOC,CihAq3RmM-o
막창에서,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
막창,O,CihAq3RmM-o
도,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
먹고!,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
노래방으로,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
하루,O,CihAq3RmM-o
를,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
마무리,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
했네요.,O,CihAq3RmM-o
ㅡㅡㅡ,ㅡㅡㅡ,CihAq3RmM-o
지금,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
보니까,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
먹는,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
것,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
밖에,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
안한,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
듯,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
싶군요,O,CihAq3RmM-o
ㅡㅡㅡ,ㅡㅡㅡ,CihAq3RmM-o
아무쪼록!,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
영상,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
재미있게,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
봐주세요.,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
감사합니다.,O,CihAq3RmM-o
ㅡㅡㅡ,ㅡㅡㅡ,CihAq3RmM-o
BGM:,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
Happy,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
Fun Retro Background M,O,CihAq3RmM-o
us,O,CihAq3RmM-o
ic,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
-,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
Fun,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
Time,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
by,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
Dj Quad,O,CihAq3RmM-o
s,O,CihAq3RmM-o
ㅡㅡㅡ,ㅡㅡㅡ,CihAq3RmM-o
Philip E Morris,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
-,O,CihAq3RmM-o
 ,O,CihAq3RmM-o
Play It Sam,O,CihAq3RmM-o
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ
시집밥상,O,NcAVQhdbuuA
Vlog,O,NcAVQhdbuuA
ㅡㅡㅡ,ㅡㅡㅡ,NcAVQhdbuuA
카메라,O,NcAVQhdbuuA
:,O,NcAVQhdbuuA
ㅡㅡㅡ,ㅡㅡㅡ,NcAVQhdbuuA
고프로 히어로8 블랙,O,NcAVQhdbuuA
 ,O,NcAVQhdbuuA
http://,O,NcAVQhdbuuA
www.spocam.co.kr/web,O,NcAVQhdbuuA
/,O,NcAVQhdbuuA
ㅡㅡㅡ,ㅡㅡㅡ,NcAVQhdbuuA
인스타그램,O,NcAVQhdbuuA
:,O,NcAVQhdbuuA
ㅡㅡㅡ,ㅡㅡㅡ,NcAVQhdbuuA
http,O,NcAVQhdbuuA
s://,O,NcAVQhdbuuA
www.instagram.com/dlwns511js,O,NcAVQhdbuuA
ㅡㅡㅡ,ㅡㅡㅡ,NcAVQhdbuuA
Music,O,NcAVQhdbuuA
 ,O,NcAVQhdbuuA
provided,O,NcAVQhdbuuA
 ,O,NcAVQhdbuuA
by,O,NcAVQhdbuuA
 ,O,NcAVQhdbuuA
브금,O,NcAVQhdbuuA
대통령,O,NcAVQhdbuuA
ㅡㅡㅡ,ㅡㅡㅡ,NcAVQhdbuuA
Track,O,NcAVQhdbuuA
 ,O,NcAVQhdbuuA
:,O,NcAVQhdbuuA
 ,O,NcAVQhdbuuA
Calm Emotion,O,NcAVQhdbuuA
 ,O,NcAVQhdbuuA
-,O,NcAVQhdbuuA
 ,O,NcAVQhdbuuA
h,O,NcAVQhdbuuA
ttp,O,NcAVQhdbuuA
s://,O,NcAVQhdbuuA
youtu.be/g1iOMFrL9FU,O,NcAVQhdbuuA
