단어,개체명 인식,id,
#,O,btjvJ4MCmtg,
전주,B_LOC,btjvJ4MCmtg,
여행,O,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
#,O,btjvJ4MCmtg,
전주,B_LOC,btjvJ4MCmtg,
여행코스,O,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
#,O,btjvJ4MCmtg,
전주,B_LOC,btjvJ4MCmtg,
가볼만한곳,O,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
#,O,btjvJ4MCmtg,
전주,B_LOC,btjvJ4MCmtg,
핫플,O,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
#,O,btjvJ4MCmtg,
전주,B_LOC,btjvJ4MCmtg,
당일치기여행,O,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
#국내여행,O,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
#,O,btjvJ4MCmtg,
전주수목원,B_TOR,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
#,O,btjvJ4MCmtg,
한옥마을,B_TOR,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
#,O,btjvJ4MCmtg,
경기전,B_TOR,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
#,O,btjvJ4MCmtg,
전동성당,B_TOR,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
벽화마을,B_TOR,btjvJ4MCmtg,
ㅡㅡㅡ,ㅡㅡㅡ,btjvJ4MCmtg,
Instagram,O,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
-,O,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
uiland.kr,O,btjvJ4MCmtg,
ㅡㅡㅡ,ㅡㅡㅡ,btjvJ4MCmtg,
?,O,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
Email,O,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
-,O,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
uiland118,O,btjvJ4MCmtg,
@gmail,O,btjvJ4MCmtg,
.com,O,btjvJ4MCmtg,
ㅡㅡㅡ,ㅡㅡㅡ,btjvJ4MCmtg,
영상에,O,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
뚜벅이를,O,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
위한,O,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
전주,B_LOC,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
당일치기,O,btjvJ4MCmtg,
ㅡㅡㅡ,ㅡㅡㅡ,btjvJ4MCmtg,
필수여행코스,O,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
Best,O,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
7,O,btjvJ4MCmtg,
",",O,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
전주,B_LOC,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
핫플레이스,O,btjvJ4MCmtg,
ㅡㅡㅡ,ㅡㅡㅡ,btjvJ4MCmtg,
그리고,O,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
여행경비에,O,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
대한,O,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
정보까지,O,btjvJ4MCmtg,
ㅡㅡㅡ,ㅡㅡㅡ,btjvJ4MCmtg,
모두,O,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
나와있으니,O,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
참고해주세요,O,btjvJ4MCmtg,
ㅡㅡㅡ,ㅡㅡㅡ,btjvJ4MCmtg,
?,O,btjvJ4MCmtg,
전주,B_LOC,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
당일치기,O,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
여행코스?,O,btjvJ4MCmtg,
ㅡㅡㅡ,ㅡㅡㅡ,btjvJ4MCmtg,
한국도로공사,O,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
전주수목원,B_TOR,btjvJ4MCmtg,
ㅡㅡㅡ,ㅡㅡㅡ,btjvJ4MCmtg,
전주한옥마을,B_TOR,btjvJ4MCmtg,
ㅡㅡㅡ,ㅡㅡㅡ,btjvJ4MCmtg,
전동성당,B_TOR,btjvJ4MCmtg,
ㅡㅡㅡ,ㅡㅡㅡ,btjvJ4MCmtg,
경기전,B_TOR,btjvJ4MCmtg,
ㅡㅡㅡ,ㅡㅡㅡ,btjvJ4MCmtg,
전주,B_TOR,btjvJ4MCmtg,
난장,I_TOR,btjvJ4MCmtg,
ㅡㅡㅡ,ㅡㅡㅡ,btjvJ4MCmtg,
자만벽화마을,B_TOR,btjvJ4MCmtg,
ㅡㅡㅡ,ㅡㅡㅡ,btjvJ4MCmtg,
오목대,B_TOR,btjvJ4MCmtg,
 ,O,btjvJ4MCmtg,
전망대,O,btjvJ4MCmtg,
ㅡㅡㅡ,ㅡㅡㅡ,btjvJ4MCmtg,
-----------------------------------------,O,btjvJ4MCmtg,
ㅡㅡㅡ,ㅡㅡㅡ,btjvJ4MCmtg,
