단어,개체명 인식,id,
*화질은,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
1080,O,4idRm_qjR6I,
으로,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
설정해주시면,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
보다,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
선명하게,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
시청하실,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
수,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
있습니다,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
*,O,4idRm_qjR6I,
ㅡㅡㅡ,ㅡㅡㅡ,4idRm_qjR6I,
해당,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
영상은,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
집합금지,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
명령이,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
있기,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
전이였던,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
11월초,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
영상이예요,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
:,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
),O,4idRm_qjR6I,
ㅡㅡㅡ,ㅡㅡㅡ,4idRm_qjR6I,
궁금하신게,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
있으시거나,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
",",O,4idRm_qjR6I,
ㅡㅡㅡ,ㅡㅡㅡ,4idRm_qjR6I,
위치가,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
궁금하신,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
가게는,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
댓글,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
달아주세요,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
!,O,4idRm_qjR6I,
ㅡㅡㅡ,ㅡㅡㅡ,4idRm_qjR6I,
업로드가,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
너무,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
늦어졌죠,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
?ㅠㅠ,O,4idRm_qjR6I,
ㅡㅡㅡ,ㅡㅡㅡ,4idRm_qjR6I,
그래도,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
예뻤던,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
곳이,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
너무,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
많이서,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
그냥,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
지나,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
칠,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
수가,O,4idRm_qjR6I,
 ,O,4idRm_qjR6I,
없어서,O,4idRm_qjR6I,
ㅡㅡㅡ,ㅡㅡㅡ,4idRm_qjR6I,
