단어,개체명 인식,id,
만석닭강정,B_RES,NrY48ERjlmQ,
 ,O,NrY48ERjlmQ,
본점,O,NrY48ERjlmQ,
 ,O,NrY48ERjlmQ,
-,O,NrY48ERjlmQ,
 ,O,NrY48ERjlmQ,
강원,B_LOC,NrY48ERjlmQ,
 ,O,NrY48ERjlmQ,
속초시,B_LOC,NrY48ERjlmQ,
 ,O,NrY48ERjlmQ,
중앙로,O,NrY48ERjlmQ,
147번길,O,NrY48ERjlmQ,
 ,O,NrY48ERjlmQ,
16,O,NrY48ERjlmQ,
ㅡㅡㅡ,ㅡㅡㅡ,NrY48ERjlmQ,
*카페*,O,NrY48ERjlmQ,
ㅡㅡㅡ,ㅡㅡㅡ,NrY48ERjlmQ,
#,O,NrY48ERjlmQ,
강원도,B_LOC,NrY48ERjlmQ,
여행브이로그,O,NrY48ERjlmQ,
 ,O,NrY48ERjlmQ,
#,O,NrY48ERjlmQ,
강릉,B_LOC,NrY48ERjlmQ,
여행브이로그,O,NrY48ERjlmQ,
 ,O,NrY48ERjlmQ,
#,O,NrY48ERjlmQ,
속초,B_LOC,NrY48ERjlmQ,
여행브이로그,O,NrY48ERjlmQ,
 ,O,NrY48ERjlmQ,
#,O,NrY48ERjlmQ,
강릉,B_LOC,NrY48ERjlmQ,
맛집,O,NrY48ERjlmQ,
 ,O,NrY48ERjlmQ,
#,O,NrY48ERjlmQ,
강릉,B_LOC,NrY48ERjlmQ,
핫플,O,NrY48ERjlmQ,
 ,O,NrY48ERjlmQ,
#,O,NrY48ERjlmQ,
강릉,B_LOC,NrY48ERjlmQ,
카페,O,NrY48ERjlmQ,
 ,O,NrY48ERjlmQ,
#,O,NrY48ERjlmQ,
속초,B_LOC,NrY48ERjlmQ,
핫플,O,NrY48ERjlmQ,
 ,O,NrY48ERjlmQ,
#,O,NrY48ERjlmQ,
속초,B_LOC,NrY48ERjlmQ,
카페,O,NrY48ERjlmQ,
 ,O,NrY48ERjlmQ,
#,O,NrY48ERjlmQ,
동화가든,B_RES,NrY48ERjlmQ,*
 ,O,NrY48ERjlmQ,
#원조,O,NrY48ERjlmQ,
짬순,O,NrY48ERjlmQ,
 ,O,NrY48ERjlmQ,
#,O,NrY48ERjlmQ,
장칼국수,O,NrY48ERjlmQ,
 ,O,NrY48ERjlmQ,
#,O,NrY48ERjlmQ,
엄지네포장마차,B_RES,NrY48ERjlmQ,
 ,O,NrY48ERjlmQ,
#,O,NrY48ERjlmQ,
도마,O,NrY48ERjlmQ,
횟집,O,NrY48ERjlmQ,
 ,O,NrY48ERjlmQ,
#,O,NrY48ERjlmQ,
퍼베이드,B_CAF,NrY48ERjlmQ,*
 ,O,NrY48ERjlmQ,
#글라스하우스,B_TOR,NrY48ERjlmQ,*
 ,O,NrY48ERjlmQ,
#,O,NrY48ERjlmQ,
태시트,B_CAF,NrY48ERjlmQ,*
 ,O,NrY48ERjlmQ,
#,O,NrY48ERjlmQ,
대관령양떼목장,B_TOR,NrY48ERjlmQ,*
 ,O,NrY48ERjlmQ,
#우정여행,O,NrY48ERjlmQ,
 ,O,NrY48ERjlmQ,
#,O,NrY48ERjlmQ,
강릉,B_LOC,NrY48ERjlmQ,
숙소,O,NrY48ERjlmQ,
 ,O,NrY48ERjlmQ,
#일상브이로그,O,NrY48ERjlmQ,
ㅡㅡㅡ,ㅡㅡㅡ,ㅡㅡㅡ,
#NAME?,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
영상은,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
유료광고를,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
포함하지,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
않습니다.,O,3em5Bi6in0w,
ㅡㅡㅡ,ㅡㅡㅡ,3em5Bi6in0w,
안뇽하세요,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
우니,O,3em5Bi6in0w,
입니당🕺🏻,O,3em5Bi6in0w,
ㅡㅡㅡ,ㅡㅡㅡ,3em5Bi6in0w,
지난 주말,O,3em5Bi6in0w,
에는,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
갱이,O,3em5Bi6in0w,
와,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
급,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
속초,B_LOC,3em5Bi6in0w,
여행을,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
다녀왔어요,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
🌊,O,3em5Bi6in0w,
ㅡㅡㅡ,ㅡㅡㅡ,3em5Bi6in0w,
비오는거,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
아는데..,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
급,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
다녀옴ㅋㅋㅋㅋㅋㅋ🌧,O,3em5Bi6in0w,
ㅡㅡㅡ,ㅡㅡㅡ,3em5Bi6in0w,
비도,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
잔뜩맞고..,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
맛있는것도,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
잔뜩먹고,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
왔답니다😆,O,3em5Bi6in0w,
ㅡㅡㅡ,ㅡㅡㅡ,3em5Bi6in0w,
오늘,O,3em5Bi6in0w,
도,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
재밌게,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
봐주세요,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
감사합니다,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
🥰,O,3em5Bi6in0w,
ㅡㅡㅡ,ㅡㅡㅡ,3em5Bi6in0w,
🐟타임라인,O,3em5Bi6in0w,
ㅡㅡㅡ,ㅡㅡㅡ,3em5Bi6in0w,
0:00,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
오프닝,O,3em5Bi6in0w,
ㅡㅡㅡ,ㅡㅡㅡ,3em5Bi6in0w,
0:55,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
속초,B_LOC,3em5Bi6in0w,
출발,O,3em5Bi6in0w,
ㅡㅡㅡ,ㅡㅡㅡ,3em5Bi6in0w,
3:07,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
아바이순대,O,3em5Bi6in0w,
",",O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
오징어순대,O,3em5Bi6in0w,
",",O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
명태회냉면,O,3em5Bi6in0w,
ㅡㅡㅡ,ㅡㅡㅡ,3em5Bi6in0w,
7:34,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
물회,O,3em5Bi6in0w,
ㅡㅡㅡ,ㅡㅡㅡ,3em5Bi6in0w,
11:13,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
닭강정,O,3em5Bi6in0w,
",",O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
대게,O,3em5Bi6in0w,
ㅡㅡㅡ,ㅡㅡㅡ,3em5Bi6in0w,
21:42,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
명태장칼국수,O,3em5Bi6in0w,
ㅡㅡㅡ,ㅡㅡㅡ,3em5Bi6in0w,
25:07:00,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
바다구경,O,3em5Bi6in0w,
ㅡㅡㅡ,ㅡㅡㅡ,3em5Bi6in0w,
27:22:00,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
감자전,O,3em5Bi6in0w,
ㅡㅡㅡ,ㅡㅡㅡ,3em5Bi6in0w,
29:06:00,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
물곰탕,O,3em5Bi6in0w,
ㅡㅡㅡ,ㅡㅡㅡ,3em5Bi6in0w,
32:33:00,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
영금정,B_TOR,3em5Bi6in0w,
ㅡㅡㅡ,ㅡㅡㅡ,3em5Bi6in0w,
33:27:00,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
"꽈배기,",O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
닭강정,O,3em5Bi6in0w,
ㅡㅡㅡ,ㅡㅡㅡ,3em5Bi6in0w,
🌧정보,O,3em5Bi6in0w,
ㅡㅡㅡ,ㅡㅡㅡ,3em5Bi6in0w,
숙소:,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
속초,B_LOC,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
씨크루즈 호텔,O,3em5Bi6in0w,
ㅡㅡㅡ,ㅡㅡㅡ,3em5Bi6in0w,
명태회냉면,O,3em5Bi6in0w,
:,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
속초,B_LOC,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
',O,3em5Bi6in0w,
단천면옥,B_RES,3em5Bi6in0w,
',O,3em5Bi6in0w,
ㅡㅡㅡ,ㅡㅡㅡ,3em5Bi6in0w,
물회,O,3em5Bi6in0w,
:,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
속초,B_LOC,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
',O,3em5Bi6in0w,
봉포 머구리집,B_RES,3em5Bi6in0w,
',O,3em5Bi6in0w,
ㅡㅡㅡ,ㅡㅡㅡ,3em5Bi6in0w,
닭강정,O,3em5Bi6in0w,
:,O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
만석닭강정,B_RES,3em5Bi6in0w,
",",O,3em5Bi6in0w,
 ,O,3em5Bi6in0w,
중앙닭강정,B_RES,3em5Bi6in0w,
