단어,개체명 인식,id,
안녕하세요,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
메종드꼬꼬예요.,O,DZ3s2WpN1Qc,
ㅡㅡㅡ,ㅡㅡㅡ,DZ3s2WpN1Qc,
순천만국가정원,B_TOR,DZ3s2WpN1Qc,
에,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
핑크뮬,O,DZ3s2WpN1Qc,
리보러간,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
브이로그,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
영상이예요,O,DZ3s2WpN1Qc,
ㅡㅡㅡ,ㅡㅡㅡ,DZ3s2WpN1Qc,
브루웍스 카페,B_CAF,DZ3s2WpN1Qc,
에도,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
다녀왔어요.,O,DZ3s2WpN1Qc,
ㅡㅡㅡ,ㅡㅡㅡ,DZ3s2WpN1Qc,
-,O,DZ3s2WpN1Qc,
----------------------------------------------------------------,O,DZ3s2WpN1Qc,
ㅡㅡㅡ,ㅡㅡㅡ,DZ3s2WpN1Qc,
Track,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
:,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
Sweet,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
Home,O,DZ3s2WpN1Qc,
ㅡㅡㅡ,ㅡㅡㅡ,DZ3s2WpN1Qc,
Music,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
by,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
브금,O,DZ3s2WpN1Qc,
대통령,O,DZ3s2WpN1Qc,
ㅡㅡㅡ,ㅡㅡㅡ,DZ3s2WpN1Qc,
Music,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
provided,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
by,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
브금,O,DZ3s2WpN1Qc,
대통령,O,DZ3s2WpN1Qc,
ㅡㅡㅡ,ㅡㅡㅡ,DZ3s2WpN1Qc,
Watch,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
:,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
http,O,DZ3s2WpN1Qc,
s://,O,DZ3s2WpN1Qc,
youtu.be/2uF1H8P_uW0,O,DZ3s2WpN1Qc,
ㅡㅡㅡ,ㅡㅡㅡ,DZ3s2WpN1Qc,
Track,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
:,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
소개팅가는길,O,DZ3s2WpN1Qc,
ㅡㅡㅡ,ㅡㅡㅡ,DZ3s2WpN1Qc,
Music,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
by,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
브금,O,DZ3s2WpN1Qc,
대통령,O,DZ3s2WpN1Qc,
ㅡㅡㅡ,ㅡㅡㅡ,DZ3s2WpN1Qc,
Music,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
provided,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
by,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
브금,O,DZ3s2WpN1Qc,
대통령,O,DZ3s2WpN1Qc,
ㅡㅡㅡ,ㅡㅡㅡ,DZ3s2WpN1Qc,
Watch,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
:,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
https,O,DZ3s2WpN1Qc,
://,O,DZ3s2WpN1Qc,
youtu.be/O1Y0jNj5iLY,O,DZ3s2WpN1Qc,
ㅡㅡㅡ,ㅡㅡㅡ,DZ3s2WpN1Qc,
Track,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
:,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
Some,O,DZ3s2WpN1Qc,
 ,O,DZ3s2WpN1Qc,
