단어,개체명 인식,id,
3월,O,FzPFiKXLZL8,
 ,O,FzPFiKXLZL8,
여행,O,FzPFiKXLZL8,
 ,O,FzPFiKXLZL8,
기록,O,FzPFiKXLZL8,
ㅡㅡㅡ,ㅡㅡㅡ,FzPFiKXLZL8,
지하철,O,FzPFiKXLZL8,
 ,O,FzPFiKXLZL8,
타고,O,FzPFiKXLZL8,
 ,O,FzPFiKXLZL8,
가볍게,O,FzPFiKXLZL8,
 ,O,FzPFiKXLZL8,
다녀온,O,FzPFiKXLZL8,
 ,O,FzPFiKXLZL8,
당일치기,O,FzPFiKXLZL8,
 ,O,FzPFiKXLZL8,
춘천,B_LOC,FzPFiKXLZL8,
 ,O,FzPFiKXLZL8,
여행,O,FzPFiKXLZL8,
 ,O,FzPFiKXLZL8,
브이로그입니다,O,FzPFiKXLZL8,
ㅡㅡㅡ,ㅡㅡㅡ,FzPFiKXLZL8,
시청해주셔서,O,FzPFiKXLZL8,
 ,O,FzPFiKXLZL8,
감사합니다,O,FzPFiKXLZL8,
ㅡㅡㅡ,ㅡㅡㅡ,FzPFiKXLZL8,
March,O,FzPFiKXLZL8,
 ,O,FzPFiKXLZL8,
travel,O,FzPFiKXLZL8,
 ,O,FzPFiKXLZL8,
record,O,FzPFiKXLZL8,
ㅡㅡㅡ,ㅡㅡㅡ,FzPFiKXLZL8,
This,O,FzPFiKXLZL8,
 ,O,FzPFiKXLZL8,
is,O,FzPFiKXLZL8,
 ,O,FzPFiKXLZL8,
a,O,FzPFiKXLZL8,
 ,O,FzPFiKXLZL8,
day,O,FzPFiKXLZL8,
 ,O,FzPFiKXLZL8,
trip,O,FzPFiKXLZL8,
 ,O,FzPFiKXLZL8,
vlog,O,FzPFiKXLZL8,
 ,O,FzPFiKXLZL8,
to,O,FzPFiKXLZL8,
 ,O,FzPFiKXLZL8,
Chuncheon,O,FzPFiKXLZL8,
 ,O,FzPFiKXLZL8,
taking,O,FzPFiKXLZL8,
 ,O,FzPFiKXLZL8,
the,O,FzPFiKXLZL8,
 ,O,FzPFiKXLZL8,
subway,O,FzPFiKXLZL8,
