【K】 전주 여행 전북 여행 전주 사진명소 자만벽화마을	O B_LOC O B_LOC O B_LOC O B_TOR
가은산 , 충북 제천 , 옥순봉 , 구담봉 , 출렁다리, 단양 8경 , 우리랜드 , 충청도 여행, 단양 여행, 제천 여행, 단양 팔경 , 단풍소식,	O O O B_LOC O B_TOR O B_TOR O O B_LOC O O O O O O B_LOC O B_LOC O B_LOC O O O
[국내여행] 단양 여행Vlog _ 느린우체통 , 단양구경시장 , 단양 맛집, 도담삼봉 , 소백산자연휴양림	O B_LOC O O O O B_TOR O B_LOC O B_TOR O B_TOR
15:56 청주 바램( 양고기 )	O B_LOC B_RES O O
순천 선암사 는 3대 겹벚꽃 풍경 명소로 매우 유명합니다.	B_LOC B_TOR O O O O O O O
왔다왔어TV 에서 준비하고 있는, 영상 제작 내용들입니다 # 봉계한우 - . 언양한우 / 봉계참솔숯불구이 (Bonggae korea cow beef) # 경주 안압지 - 안압지 야경 (A n apji ninght seesighting) # 감포항 - 경주 감포항 ( Gampo port,seesight) # 정자횟집 (Jungja seafood) # (Yongjang korean style pension) # 불국사 (Bulguksa, temple) # 석가탑 / 다보탑 (Suggatap/Dabotap) We inform to, video's contents on the making Please,select to the language in subtitle.	O O O O O O O O B_RES O O B_RES O B_RES O O O O O B_LOC B_TOR O B_TOR O O O O O O O O O B_LOC B_TOR O O O O B_RES O O O O O O O O B_TOR O O O B_TOR O B_TOR O O O O O O O O O O O O O O O
와온해변 에서	B_TOR O
울산 여행지 추천 # 울산 자수정동굴 / 가성비 대박 / 아이들과 여행 / 화석 / 울산 여행 / 울산 아이들과 가볼만한곳 / 브이로그 / 육아브이로그	B_LOC O O O B_LOC B_TOR O O O O O O O O O B_LOC O O B_LOC O O O O O O
[ 단양 브이로그] 단양구경시장 ㅣ 도담삼봉	O B_LOC O B_TOR O B_TOR
조개구이 는 영종도 불티나 조개구이 ? 에서 먹었구요	O O B_TOR B_RES I_RES O O O
#vlog #일상 # 이케아	O O O B_TOR
3:49 버터피베이크샵 & 카페브루	O B_CAF O B_CAF
?? 화성행궁	O B_TOR
낙강물길공원 가는 길에 정자 하나 가 있어 둘러보기	B_TOR O O O O O O O
2:56 영금정 구경	O B_TOR O
3:53 무등산 수박 등 언박싱	O B_TOR O O O
