단양 여행 단양 소노문 구인사 온달관광지 구경시장 패러글라이딩	B_LOC O B_LOC O B_TOR B_TOR B_TOR O
732 하누식당	O B_RES
인스타 검색해 보면 여기하고 끄티집 만 대부분 나오더라고요	O O O O B_RES O O O
5 개성 손만두 만두 전골 230	O B_RES I_RES O O O
브이로그 이케아 고양 쇼핑과 먹방	O B_TOR B_LOC O O
6시 내고향 느낌으로 섬진강 특선요리 모두 먹었어요	O O O B_TOR O O O
5월 경주 펜션에서 일하는 일상 브이로그 차오찹스 명화그리기 불국사 바질토마토에이드	O B_LOC O O O O B_RES O B_TOR O
브이로그 강원도 춘천 여행 제이드가든 산토리니카페 회영루 가보다 직장 인브이로그 춘천 제이드가든 산토리니 카페 회영루 횰라	O B_LOC B_LOC O B_TOR B_CAF B_RES O O O B_LOC B_TOR B_CAF O B_RES O
대전 여행 대전 먹방여행 성심당 바로그집 한영식당	B_LOC O B_LOC O B_CAF B_RES B_RES
커플 별똥별 커플 부산 근교 울산 여행 태화강십리대숲 은하수다리 이예대교 베테랑바베큐 울산 맛집 라메르판지 울산 대형카페 울산 데이트 부산 근교여행	O O O O O B_LOC O B_TOR O B_TOR B_RES B_LOC O B_CAF B_LOC O B_LOC O O O
피크닉 브이로그ㅣ도시락 싸서 수원 방화수류정 에서 피크닉 즐기기ㅣ 헬로샤인트립 ㅣ 꽃 도 주는 피크닉 대여	O O O B_LOC B_TOR O O O O O O O O O O
순천 여행 브이로그 1 2박3일 순천 여행 와온해변 국밥 노을보기	B_LOC O O O O B_LOC O B_TOR O O
속초 여행 브이로그 1 혼자 뚜벅이 1박2일 이 시국 안전한 속초 여행 루트 바다 보이는 스파 펜션에서 만석 닭강정 에 와인 속초 해수욕 장 밤바다 포토존	B_LOC O O O O O O O O O B_LOC O O O O O O B_RES I_RES O O B_TOR I_TOR I_TOR O O
안녕하세요 저는 며칠전 친구 랑 강릉 당일치기 여행을 다녀왔습니다 명성이 자자한 핫플인 만큼 너무 재밌게 놀고 왔어요 목장 3 양떼목장 하늘목장 트렉터 풍력발전기 포토존 삼양목장 먹방 숲속집 순대국밥 싸전 생활의달인 강릉빵집 중앙시장 강릉 바다 안목해변 보사노바 까페 이번 영상도 봐주셔서 감사합니다 2020년 새해 복 많이 받으세요 브이로그 사용한 음악	O O O O O B_LOC O O O O O O O O O O O O O B_TOR B_TOR O O O B_TOR O B_RES O B_CAF O B_CAF B_TOR B_LOC O B_TOR B_CAF O O O O O O O O O O O O O
풍산류 씨 종갓집인 양진당	O O O B_TOR
하고 부안 의 내소사 로 가는 길을 좋아하는데 선암사 로 올라가는	O O O O O O O O B_TOR O O
당일치기 가족 여행 브이로그 대구 3대 짬뽕 진흥반점 양산 통도사 울산 간절곶 구룡포 포항 호미곶 그리고 이제 날씨가 다해버린 사진들을 곁들인	O O O O O O O O O O B_LOC B_TOR O O O O O O O O O
이번엔 딜라이트 에 왔습니다	O B_TOR O O
